Date,New Daily Cases,New Daily Cases (cumulative),New Daily Deaths,New Daily Deaths (cumulative),New Hospital Admissions,New Hospital Admissions (cumulative),"New Vaccinations, 1st dose","New Vaccinations, 1st dose (cumulative)","New Vaccinations, 2nd dose","New Vaccinations, 2nd dose (cumulative)"
2020-01-30,,,1.0,1.0,,,,,,
2020-01-30,1.0,1.0,,,,,,,,
2020-01-31,,,0.0,1.0,,,,,,
2020-01-31,0.0,1.0,,,,,,,,
2020-02-01,0.0,1.0,,,,,,,,
2020-02-01,,,0.0,1.0,,,,,,
2020-02-02,,,1.0,2.0,,,,,,
2020-02-02,1.0,2.0,,,,,,,,
2020-02-03,,,0.0,2.0,,,,,,
2020-02-03,19.0,21.0,,,,,,,,
2020-02-04,0.0,21.0,,,,,,,,
2020-02-04,,,0.0,2.0,,,,,,
2020-02-05,1.0,22.0,,,,,,,,
2020-02-05,,,0.0,2.0,,,,,,
2020-02-06,0.0,22.0,,,,,,,,
2020-02-06,,,0.0,2.0,,,,,,
2020-02-07,0.0,22.0,,,,,,,,
2020-02-07,,,0.0,2.0,,,,,,
2020-02-08,,,0.0,2.0,,,,,,
2020-02-08,3.0,25.0,,,,,,,,
2020-02-09,1.0,26.0,,,,,,,,
2020-02-09,,,0.0,2.0,,,,,,
2020-02-10,1.0,27.0,,,,,,,,
2020-02-10,,,0.0,2.0,,,,,,
2020-02-11,,,0.0,2.0,,,,,,
2020-02-11,4.0,31.0,,,,,,,,
2020-02-12,1.0,32.0,,,,,,,,
2020-02-12,,,0.0,2.0,,,,,,
2020-02-13,1.0,33.0,,,,,,,,
2020-02-13,,,0.0,2.0,,,,,,
2020-02-14,,,0.0,2.0,,,,,,
2020-02-14,0.0,33.0,,,,,,,,
2020-02-15,,,0.0,2.0,,,,,,
2020-02-15,0.0,33.0,,,,,,,,
2020-02-16,,,0.0,2.0,,,,,,
2020-02-16,0.0,33.0,,,,,,,,
2020-02-17,1.0,34.0,,,,,,,,
2020-02-17,,,0.0,2.0,,,,,,
2020-02-18,,,0.0,2.0,,,,,,
2020-02-18,0.0,34.0,,,,,,,,
2020-02-19,,,0.0,2.0,,,,,,
2020-02-19,0.0,34.0,,,,,,,,
2020-02-20,0.0,34.0,,,,,,,,
2020-02-20,,,0.0,2.0,,,,,,
2020-02-21,2.0,36.0,,,,,,,,
2020-02-21,,,0.0,2.0,,,,,,
